product_sk,last_movement_date,days_since_movement,is_slow_moving,Product_ID,Product_Name,Category,Sub_Category,Source_System
20,2017-09-04,98,True,TEC-AC-10000171,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",Technology,Accessories,Supply_Chain
21,2017-09-07,95,True,OFF-BI-10003291,Wilson Jones Leather-Like Binders with DublLock Round Rings,Office Supplies,Binders,Supply_Chain
22,2016-12-11,365,True,OFF-FA-10000304,Advantus Push Pins,Office Supplies,Fasteners,Supply_Chain
23,2016-12-11,365,True,TEC-PH-10002447,AT&T CL83451 4-Handset Telephone,Technology,Phones,Supply_Chain
24,2014-12-05,1102,True,OFF-AR-10002671,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",Office Supplies,Art,Supply_Chain
25,2017-07-03,161,True,TEC-PH-10002726,netTALK DUO VoIP Telephone Service,Technology,Phones,Supply_Chain
26,2016-12-06,370,True,OFF-PA-10000482,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",Office Supplies,Paper,Supply_Chain
27,2017-12-09,2,False,OFF-BI-10004182,Economy Binders,Office Supplies,Binders,Supply_Chain
28,2017-12-09,2,False,FUR-FU-10000260,"6"" Cubicle Wall Clock, Black",Furniture,Furnishings,Supply_Chain
29,2017-12-09,2,False,OFF-ST-10000615,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",Office Supplies,Storage,Supply_Chain
30,2017-11-06,35,False,OFF-AP-10002118,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Office Supplies,Appliances,Supply_Chain
31,2016-06-12,547,True,OFF-BI-10002309,Avery Heavy-Duty EZD  Binder With Locking Rings,Office Supplies,Binders,Supply_Chain
32,2017-09-03,99,True,OFF-AR-10002053,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",Office Supplies,Art,Supply_Chain
33,2017-06-11,183,True,OFF-ST-10002370,"Sortfiler Multipurpose Personal File Organizer, Black",Office Supplies,Storage,Supply_Chain
34,2016-12-06,370,True,OFF-EN-10000927,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,Office Supplies,Envelopes,Supply_Chain
35,2016-11-06,400,True,OFF-ST-10003442,Eldon Portable Mobile Manager,Office Supplies,Storage,Supply_Chain
36,2017-11-06,35,False,OFF-BI-10004738,Flexible Leather- Look Classic Collection Ring Binder,Office Supplies,Binders,Supply_Chain
37,2017-11-09,32,False,FUR-FU-10000629,9-3/4 Diameter Round Wall Clock,Furniture,Furnishings,Supply_Chain
38,2017-12-01,10,False,OFF-AP-10000358,Fellowes Basic Home/Office Series Surge Protectors,Office Supplies,Appliances,Supply_Chain
39,2016-12-01,375,True,OFF-PA-10004040,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),Office Supplies,Paper,Supply_Chain
40,2017-09-04,98,True,OFF-AR-10000380,"Hunt PowerHouse Electric Pencil Sharpener, Blue",Office Supplies,Art,Supply_Chain
41,2016-11-03,403,True,OFF-BI-10003981,"Avery Durable Plastic 1"" Binders",Office Supplies,Binders,Supply_Chain
42,2016-09-02,465,True,FUR-TA-10001768,Hon Racetrack Conference Tables,Furniture,Tables,Supply_Chain
43,2017-12-02,9,False,OFF-BI-10003650,GBC DocuBind 300 Electric Binding Machine,Office Supplies,Binders,Supply_Chain
44,2016-06-12,547,True,FUR-FU-10002157,Artistic Insta-Plaque,Furniture,Furnishings,Supply_Chain
45,2016-06-12,547,True,OFF-ST-10000777,"Companion Letter/Legal File, Black",Office Supplies,Storage,Supply_Chain
46,2016-09-01,466,True,OFF-EN-10002500,Globe Weis Peel & Seel First Class Envelopes,Office Supplies,Envelopes,Supply_Chain
47,2016-06-12,547,True,TEC-PH-10003875,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,Technology,Phones,Supply_Chain
48,2017-12-09,2,False,OFF-BI-10003274,"Avery Durable Slant Ring Binders, No Labels",Office Supplies,Binders,Supply_Chain
49,2017-11-05,36,False,OFF-ST-10002974,"Trav-L-File Heavy-Duty Shuttle II, Black",Office Supplies,Storage,Supply_Chain
50,2017-07-06,158,True,FUR-CH-10001146,"Global Task Chair, Black",Furniture,Chairs,Supply_Chain
51,2016-11-06,400,True,FUR-FU-10003773,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,Furniture,Furnishings,Supply_Chain
52,2017-07-05,159,True,TEC-PH-10002293,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,Technology,Phones,Supply_Chain
53,2017-10-06,66,False,OFF-PA-10002377,Xerox 1916,Office Supplies,Paper,Supply_Chain
54,2017-10-05,67,False,OFF-FA-10002780,Staples,Office Supplies,Fasteners,Supply_Chain
55,2017-08-07,126,True,FUR-FU-10004848,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Furniture,Furnishings,Supply_Chain
56,2015-09-07,826,True,OFF-ST-10003656,Safco Industrial Wire Shelving,Office Supplies,Storage,Supply_Chain
57,2016-12-05,371,True,TEC-PH-10000215,Plantronics Cordless Phone Headset with In-line Volume - M214C,Technology,Phones,Supply_Chain
58,2017-12-02,9,False,TEC-PH-10001448,Anker Astro 15000mAh USB Portable Charger,Technology,Phones,Supply_Chain
59,2017-11-05,36,False,OFF-BI-10002735,GBC Prestige Therm-A-Bind Covers,Office Supplies,Binders,Supply_Chain
60,2016-10-03,434,True,FUR-CH-10004063,Global Deluxe High-Back Manager's Chair,Furniture,Chairs,Supply_Chain
61,2016-05-11,579,True,OFF-PA-10002751,Xerox 1920,Office Supplies,Paper,Supply_Chain
62,2016-11-07,399,True,OFF-BI-10004002,Wilson Jones International Size A4 Ring Binders,Office Supplies,Binders,Supply_Chain
63,2017-12-08,3,False,OFF-AR-10004441,BIC Brite Liner Highlighters,Office Supplies,Art,Supply_Chain
64,2017-01-07,338,True,TEC-MA-10000822,Lexmark MX611dhe Monochrome Laser Printer,Technology,Machines,Supply_Chain
65,2017-10-06,66,False,OFF-ST-10000991,Space Solutions HD Industrial Steel Shelving.,Office Supplies,Storage,Supply_Chain
66,2016-07-08,521,True,FUR-CH-10004287,SAFCO Arco Folding Chair,Furniture,Chairs,Supply_Chain
67,2014-09-08,1190,True,OFF-AR-10002656,Sanford Liquid Accent Highlighters,Office Supplies,Art,Supply_Chain
68,2016-08-09,489,True,OFF-AP-10002518,Kensington 7 Outlet MasterPiece Power Center,Office Supplies,Appliances,Supply_Chain
69,2017-08-01,132,True,TEC-PH-10003931,JBL Micro Wireless Portable Bluetooth Speaker,Technology,Phones,Supply_Chain
70,2017-05-12,213,True,OFF-PA-10000659,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6 x 11",Office Supplies,Paper,Supply_Chain
71,2014-09-09,1189,True,OFF-PA-10001144,Xerox 1913,Office Supplies,Paper,Supply_Chain
72,2017-12-04,7,False,FUR-CH-10003817,"Global Value Steno Chair, Gray",Furniture,Chairs,Supply_Chain
73,2016-09-02,465,True,OFF-ST-10003455,"Tenex File Box, Personal Filing Tote with Lid, Black",Office Supplies,Storage,Supply_Chain
74,2017-05-06,219,True,TEC-AC-10004659,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,Technology,Accessories,Supply_Chain
75,2015-10-12,791,True,FUR-BO-10002613,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",Furniture,Bookcases,Supply_Chain
76,2016-05-09,581,True,TEC-PH-10001552,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,Technology,Phones,Supply_Chain
77,2017-09-08,94,True,OFF-PA-10000061,Xerox 205,Office Supplies,Paper,Supply_Chain
78,2016-01-08,703,True,FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Furniture,Bookcases,Supply_Chain
79,2017-07-03,161,True,OFF-AR-10003514,4009 Highlighters by Sanford,Office Supplies,Art,Supply_Chain
80,2017-11-06,35,False,OFF-ST-10001414,Decoflex Hanging Personal Folder File,Office Supplies,Storage,Supply_Chain
81,2017-07-06,158,True,OFF-BI-10000343,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",Office Supplies,Binders,Supply_Chain
82,2017-11-12,29,False,OFF-PA-10002749,"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page",Office Supplies,Paper,Supply_Chain
83,2017-12-11,0,False,FUR-TA-10004289,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,Furniture,Tables,Supply_Chain
84,2017-12-11,0,False,OFF-AP-10003622,"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",Office Supplies,Appliances,Supply_Chain
85,2017-09-02,100,True,FUR-FU-10002960,"Eldon 200 Class Desk Accessories, Burgundy",Furniture,Furnishings,Supply_Chain
86,2017-12-09,2,False,TEC-PH-10001918,Nortel Business Series Terminal T7208 Digital phone,Technology,Phones,Supply_Chain
87,2017-12-01,10,False,OFF-ST-10000642,"Tennsco Lockers, Gray",Office Supplies,Storage,Supply_Chain
88,2017-12-01,10,False,TEC-PH-10001700,Panasonic KX-TG6844B Expandable Digital Cordless Telephone,Technology,Phones,Supply_Chain
89,2017-12-01,10,False,OFF-FA-10000134,"Advantus Push Pins, Aluminum Head",Office Supplies,Fasteners,Supply_Chain
90,2017-12-01,10,False,OFF-ST-10001522,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",Office Supplies,Storage,Supply_Chain
91,2017-12-07,4,False,TEC-AC-10001266,Memorex Micro Travel Drive 8 GB,Technology,Accessories,Supply_Chain
92,2017-09-02,100,True,OFF-LA-10004544,Avery 505,Office Supplies,Labels,Supply_Chain
93,2015-09-10,823,True,FUR-BO-10004695,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,Furniture,Bookcases,Supply_Chain
94,2015-06-12,913,True,TEC-PH-10002844,Speck Products Candyshell Flip Case,Technology,Phones,Supply_Chain
95,2015-01-02,1074,True,TEC-MA-10000864,Cisco 9971 IP Video Phone Charcoal,Technology,Machines,Supply_Chain
96,2017-09-02,100,True,TEC-AC-10000109,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,Technology,Accessories,Supply_Chain
97,2015-08-09,855,True,OFF-AR-10001026,"Sanford Uni-Blazer View Highlighters, Chisel Tip, Yellow",Office Supplies,Art,Supply_Chain
98,2017-12-09,2,False,FUR-TA-10003748,Bevis 36 x 72 Conference Tables,Furniture,Tables,Supply_Chain
99,2017-11-04,37,False,OFF-ST-10002485,Rogers Deluxe File Chest,Office Supplies,Storage,Supply_Chain
100,2017-04-07,248,True,FUR-TA-10001705,Bush Advantage Collection Round Conference Table,Furniture,Tables,Supply_Chain
101,2017-05-04,221,True,FUR-TA-10003473,Bretford Rectangular Conference Table Tops,Furniture,Tables,Supply_Chain
102,2017-04-07,248,True,OFF-BI-10001679,GBC Instant Index System for Binding Systems,Office Supplies,Binders,Supply_Chain
103,2017-04-07,248,True,FUR-FU-10004017,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",Furniture,Furnishings,Supply_Chain
104,2017-12-05,6,False,TEC-AC-10003832,Logitech P710e Mobile Speakerphone,Technology,Accessories,Supply_Chain
105,2017-11-12,29,False,OFF-PA-10002479,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),Office Supplies,Paper,Supply_Chain
106,2016-06-04,555,True,OFF-PA-10003349,Xerox 1957,Office Supplies,Paper,Supply_Chain
107,2016-06-04,555,True,FUR-FU-10000576,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,Furniture,Furnishings,Supply_Chain
108,2017-12-03,8,False,FUR-FU-10004351,Staple-based wall hangings,Furniture,Furnishings,Supply_Chain
109,2016-06-04,555,True,TEC-PH-10000011,PureGear Roll-On Screen Protector,Technology,Phones,Supply_Chain
110,2017-09-01,101,True,FUR-TA-10002607,KI Conference Tables,Furniture,Tables,Supply_Chain
111,2016-06-04,555,True,FUR-FU-10002505,Eldon 100 Class Desk Accessories,Furniture,Furnishings,Supply_Chain
112,2017-11-02,39,False,OFF-AR-10004685,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",Office Supplies,Art,Supply_Chain
113,2016-11-11,395,True,OFF-ST-10002276,Safco Steel Mobile File Cart,Office Supplies,Storage,Supply_Chain
114,2017-09-12,90,False,OFF-PA-10004082,"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book",Office Supplies,Paper,Supply_Chain
115,2017-06-01,193,True,OFF-AP-10002945,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,Office Supplies,Appliances,Supply_Chain
116,2016-12-10,366,True,FUR-CH-10002965,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",Furniture,Chairs,Supply_Chain
117,2017-04-10,245,True,OFF-PA-10004569,"Wirebound Message Books, Two 4 1/4"" x 5"" Forms per Page",Office Supplies,Paper,Supply_Chain
118,2017-12-01,10,False,OFF-ST-10001228,"Fellowes Personal Hanging Folder Files, Navy",Office Supplies,Storage,Supply_Chain
119,2016-12-10,366,True,OFF-EN-10003296,Tyvek Side-Opening Peel & Seel Expanding Envelopes,Office Supplies,Envelopes,Supply_Chain
120,2017-12-01,10,False,TEC-AC-10000290,Sabrent 4-Port USB 2.0 Hub,Technology,Accessories,Supply_Chain
121,2017-12-01,10,False,OFF-ST-10002790,Safco Industrial Shelving,Office Supplies,Storage,Supply_Chain
122,2017-12-01,10,False,OFF-BI-10003460,Acco 3-Hole Punch,Office Supplies,Binders,Supply_Chain
123,2017-06-08,186,True,OFF-AP-10002203,Eureka Disposable Bags for Sanitaire Vibra Groomer I Upright Vac,Office Supplies,Appliances,Supply_Chain
124,2016-06-06,553,True,TEC-PH-10001433,Cisco Small Business SPA 502G VoIP phone,Technology,Phones,Supply_Chain
125,2017-11-03,38,False,TEC-AC-10004469,Microsoft Sculpt Comfort Mouse,Technology,Accessories,Supply_Chain
126,2017-12-09,2,False,OFF-ST-10004180,Safco Commercial Shelving,Office Supplies,Storage,Supply_Chain
127,2017-12-09,2,False,OFF-EN-10004386,"Recycled Interoffice Envelopes with String and Button Closure, 10 x 13",Office Supplies,Envelopes,Supply_Chain
128,2015-11-02,770,True,FUR-TA-10002903,"Bevis Round Bullnose 29"" High Table Top",Furniture,Tables,Supply_Chain
129,2016-12-05,371,True,FUR-FU-10002671,Electrix 20W Halogen Replacement Bulb for Zoom-In Desk Lamp,Furniture,Furnishings,Supply_Chain
130,2016-12-03,373,True,OFF-BI-10001072,"GBC Clear Cover, 8-1/2 x 11, unpunched, 25 covers per pack",Office Supplies,Binders,Supply_Chain
131,2016-11-04,402,True,OFF-AR-10002135,Boston Heavy-Duty Trimline Electric Pencil Sharpeners,Office Supplies,Art,Supply_Chain
132,2017-12-04,7,False,FUR-FU-10001918,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,Furniture,Furnishings,Supply_Chain
133,2017-05-07,218,True,FUR-CH-10004086,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,Furniture,Chairs,Supply_Chain
134,2017-11-12,29,False,FUR-FU-10001756,"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany",Furniture,Furnishings,Supply_Chain
135,2016-09-12,455,True,OFF-LA-10000634,Avery 509,Office Supplies,Labels,Supply_Chain
136,2014-08-09,1220,True,TEC-PH-10002398,AT&T 1070 Corded Phone,Technology,Phones,Supply_Chain
137,2017-12-11,0,False,OFF-PA-10001937,Xerox 21,Office Supplies,Paper,Supply_Chain
138,2017-12-01,10,False,FUR-CH-10002602,DMI Arturo Collection Mission-style Design Wood Chair,Furniture,Chairs,Supply_Chain
139,2014-11-04,1133,True,TEC-MA-10002927,Canon imageCLASS MF7460 Monochrome Digital Laser Multifunction Copier,Technology,Machines,Supply_Chain
140,2017-04-02,253,True,TEC-AC-10000892,NETGEAR N750 Dual Band Wi-Fi Gigabit Router,Technology,Accessories,Supply_Chain
141,2017-11-03,38,False,FUR-FU-10001967,Telescoping Adjustable Floor Lamp,Furniture,Furnishings,Supply_Chain
142,2017-10-01,71,False,OFF-BI-10001922,Storex Dura Pro Binders,Office Supplies,Binders,Supply_Chain
143,2016-10-04,433,True,TEC-CO-10001449,Hewlett Packard LaserJet 3310 Copier,Technology,Copiers,Supply_Chain
144,2017-09-10,92,True,OFF-BI-10004140,Avery Non-Stick Binders,Office Supplies,Binders,Supply_Chain
145,2016-11-04,402,True,OFF-BI-10003314,Tuff Stuff Recycled Round Ring Binders,Office Supplies,Binders,Supply_Chain
146,2017-11-06,35,False,FUR-TA-10004575,Hon 5100 Series Wood Tables,Furniture,Tables,Supply_Chain
147,2017-07-08,156,True,OFF-AR-10004027,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box",Office Supplies,Art,Supply_Chain
148,2017-07-08,156,True,OFF-PA-10000249,Easy-staple paper,Office Supplies,Paper,Supply_Chain
149,2017-09-09,93,True,OFF-AR-10001374,"BIC Brite Liner Highlighters, Chisel Tip",Office Supplies,Art,Supply_Chain
150,2017-12-08,3,False,OFF-PA-10001970,Xerox 1881,Office Supplies,Paper,Supply_Chain
151,2016-09-01,466,True,OFF-BI-10002160,Acco Hanging Data Binders,Office Supplies,Binders,Supply_Chain
152,2016-09-01,466,True,OFF-BI-10004995,GBC DocuBind P400 Electric Binding System,Office Supplies,Binders,Supply_Chain
153,2016-04-08,612,True,FUR-BO-10002268,Sauder Barrister Bookcases,Furniture,Bookcases,Supply_Chain
154,2016-04-08,612,True,OFF-EN-10001137,"#10 Gummed Flap White Envelopes, 100/Box",Office Supplies,Envelopes,Supply_Chain
155,2016-08-06,492,True,OFF-AR-10002399,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",Office Supplies,Art,Supply_Chain
156,2017-12-08,3,False,OFF-PA-10002713,"Adams Phone Message Book, 200 Message Capacity, 8 1/16 x 11",Office Supplies,Paper,Supply_Chain
157,2017-03-08,278,True,OFF-AP-10001124,Belkin 8 Outlet SurgeMaster II Gold Surge Protector with Phone Protection,Office Supplies,Appliances,Supply_Chain
158,2017-03-08,278,True,OFF-LA-10001158,"Avery Address/Shipping Labels for Typewriters, 4"" x 2""",Office Supplies,Labels,Supply_Chain
159,2015-12-03,739,True,TEC-MA-10001681,Lexmark MarkNet N8150 Wireless Print Server,Technology,Machines,Supply_Chain
160,2016-12-11,365,True,FUR-FU-10001935,3M Hangers With Command Adhesive,Furniture,Furnishings,Supply_Chain
161,2017-12-11,0,False,OFF-BI-10000050,"Angle-D Binders with Locking Rings, Label Holders",Office Supplies,Binders,Supply_Chain
162,2017-12-11,0,False,TEC-AC-10001998,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,Technology,Accessories,Supply_Chain
163,2017-12-09,2,False,OFF-BI-10003982,Wilson Jones Century Plastic Molded Ring Binders,Office Supplies,Binders,Supply_Chain
164,2017-11-02,39,False,OFF-ST-10001580,Super Decoflex Portable Personal File,Office Supplies,Storage,Supply_Chain
165,2017-06-08,186,True,FUR-BO-10004834,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Furniture,Bookcases,Supply_Chain
166,2016-09-08,459,True,OFF-ST-10000934,"Contico 72""H Heavy-Duty Storage System",Office Supplies,Storage,Supply_Chain
167,2017-12-08,3,False,TEC-AC-10000158,Sony 64GB Class 10 Micro SDHC R40 Memory Card,Technology,Accessories,Supply_Chain
168,2017-12-08,3,False,TEC-CO-10004115,Sharp AL-1530CS Digital Copier,Technology,Copiers,Supply_Chain
169,2017-12-08,3,False,OFF-PA-10003724,"Wirebound Message Book, 4 per Page",Office Supplies,Paper,Supply_Chain
170,2017-12-08,3,False,FUR-TA-10002041,"Bevis Round Conference Table Top, X-Base",Furniture,Tables,Supply_Chain
171,2017-12-08,3,False,OFF-PA-10002893,"Wirebound Service Call Books, 5 1/2"" x 4""",Office Supplies,Paper,Supply_Chain
172,2017-12-08,3,False,OFF-LA-10003766,Self-Adhesive Removable Labels,Office Supplies,Labels,Supply_Chain
173,2017-12-08,3,False,FUR-BO-10001972,O'Sullivan 4-Shelf Bookcase in Odessa Pine,Furniture,Bookcases,Supply_Chain
174,2017-12-08,3,False,FUR-CH-10003956,Novimex High-Tech Fabric Mesh Task Chair,Furniture,Chairs,Supply_Chain
175,2017-11-06,35,False,OFF-PA-10000157,Xerox 191,Office Supplies,Paper,Supply_Chain
176,2017-11-03,38,False,FUR-CH-10001891,Global Deluxe Office Fabric Chairs,Furniture,Chairs,Supply_Chain
177,2017-11-06,35,False,OFF-PA-10003845,Xerox 1987,Office Supplies,Paper,Supply_Chain
178,2017-03-04,282,True,OFF-AR-10001573,American Pencil,Office Supplies,Art,Supply_Chain
179,2017-03-04,282,True,OFF-EN-10000483,"White Envelopes, White Envelopes with Clear Poly Window",Office Supplies,Envelopes,Supply_Chain
180,2014-09-12,1186,True,TEC-MA-10000029,"Epson WorkForce WF-2530 All-in-One Printer, Copier Scanner",Technology,Machines,Supply_Chain
181,2017-10-01,71,False,OFF-AR-10000369,Design Ebony Sketching Pencil,Office Supplies,Art,Supply_Chain
182,2017-12-02,9,False,OFF-ST-10003306,Letter Size Cart,Office Supplies,Storage,Supply_Chain
183,2016-06-12,547,True,TEC-MA-10002937,"Canon Color ImageCLASS MF8580Cdw Wireless Laser All-In-One Printer, Copier, Scanner",Technology,Machines,Supply_Chain
184,2016-09-05,462,True,FUR-FU-10000246,Aluminum Document Frame,Furniture,Furnishings,Supply_Chain
185,2017-12-10,1,False,OFF-ST-10000060,Fellowes Bankers Box Staxonsteel Drawer File/Stacking System,Office Supplies,Storage,Supply_Chain
186,2016-09-05,462,True,OFF-ST-10003058,Eldon Mobile Mega Data Cart  Mega Stackable  Add-On Trays,Office Supplies,Storage,Supply_Chain
187,2016-09-05,462,True,OFF-PA-10002222,"Xerox Color Copier Paper, 11"" x 17"", Ream",Office Supplies,Paper,Supply_Chain
188,2017-10-08,64,False,FUR-CH-10002372,Office Star - Ergonomically Designed Knee Chair,Furniture,Chairs,Supply_Chain
189,2017-12-03,8,False,OFF-LA-10001317,Avery 520,Office Supplies,Labels,Supply_Chain
190,2017-03-06,280,True,OFF-AR-10000588,Newell 345,Office Supplies,Art,Supply_Chain
191,2016-04-12,608,True,OFF-ST-10001469,Fellowes Bankers Box Recycled Super Stor/Drawer,Office Supplies,Storage,Supply_Chain
192,2017-08-12,121,True,OFF-AR-10001953,Boston 1645 Deluxe Heavier-Duty Electric Pencil Sharpener,Office Supplies,Art,Supply_Chain
193,2017-04-07,248,True,OFF-AR-10003156,50 Colored Long Pencils,Office Supplies,Art,Supply_Chain
194,2016-04-01,619,True,OFF-AR-10004974,Newell 342,Office Supplies,Art,Supply_Chain
195,2016-09-01,466,True,TEC-PH-10002365,Belkin Grip Candy Sheer Case / Cover for iPhone 5 and 5S,Technology,Phones,Supply_Chain
196,2017-12-11,0,False,FUR-CH-10000225,"Global Geo Office Task Chair, Gray",Furniture,Chairs,Supply_Chain
197,2017-01-01,344,True,OFF-ST-10002743,SAFCO Boltless Steel Shelving,Office Supplies,Storage,Supply_Chain
198,2017-05-06,219,True,FUR-BO-10001601,"Sauder Mission Library with Doors, Fruitwood Finish",Furniture,Bookcases,Supply_Chain
199,2015-09-07,826,True,TEC-PH-10002680,Samsung Galaxy Note 3,Technology,Phones,Supply_Chain
200,2017-09-08,94,True,OFF-ST-10001321,"Decoflex Hanging Personal Folder File, Blue",Office Supplies,Storage,Supply_Chain
201,2015-12-10,732,True,OFF-PA-10001509,"Recycled Desk Saver Line ""While You Were Out"" Book, 5 1/2"" X 4""",Office Supplies,Paper,Supply_Chain
202,2016-02-07,673,True,OFF-PA-10003465,Xerox 1912,Office Supplies,Paper,Supply_Chain
203,2017-03-10,276,True,TEC-PH-10000149,Cisco SPA525G2 IP Phone - Wireless,Technology,Phones,Supply_Chain
204,2014-10-06,1162,True,TEC-AC-10001445,Imation USB 2.0 Swivel Flash Drive USB flash drive - 4 GB - Pink,Technology,Accessories,Supply_Chain
205,2017-11-04,37,False,OFF-LA-10003923,Alphabetical Labels for Top Tab Filing,Office Supplies,Labels,Supply_Chain
206,2017-06-10,184,True,FUR-BO-10001337,O'Sullivan Living Dimensions 2-Shelf Bookcases,Furniture,Bookcases,Supply_Chain
207,2017-12-08,3,False,TEC-PH-10001924,iHome FM Clock Radio with Lightning Dock,Technology,Phones,Supply_Chain
208,2016-11-10,396,True,TEC-PH-10000376,Square Credit Card Reader,Technology,Phones,Supply_Chain
209,2017-11-04,37,False,TEC-AC-10000303,Logitech M510 Wireless Mouse,Technology,Accessories,Supply_Chain
210,2016-05-09,581,True,TEC-AC-10000991,Sony Micro Vault Click 8 GB USB 2.0 Flash Drive,Technology,Accessories,Supply_Chain
211,2017-12-09,2,False,OFF-ST-10004963,Eldon Gobal File Keepers,Office Supplies,Storage,Supply_Chain
212,2015-09-03,830,True,OFF-SU-10002881,Martin Yale Chadless Opener Electric Letter Opener,Office Supplies,Supplies,Supply_Chain
213,2017-11-02,39,False,OFF-EN-10001335,"White Business Envelopes with Contemporary Seam, Recycled White Business Envelopes",Office Supplies,Envelopes,Supply_Chain
