product_sk,Product_Name,Category,Sub_Category,risk_level,days_until_stockout,current_stock,daily_sales_rate,total_quantity,days_on_market,first_sale,last_sale
449,Carina Media Storage Towers in Natural & Black,Office Supplies,Storage,High,0.0,0.0,3.0,3,1,2016-12-04,2016-12-04
468,Avery 48,Office Supplies,Labels,High,0.0,0.0,3.0,3,1,2017-04-09,2017-04-09
474,"Tenex Personal Project File with Scoop Front Design, Black",Office Supplies,Storage,High,0.0,0.0,0.01,3,338,2015-10-04,2016-09-06
477,Avery 517,Office Supplies,Labels,High,0.0,0.0,1.0,1,1,2016-12-09,2016-12-09
496,DYMO CardScan Personal V9 Business Card Scanner,Technology,Machines,High,0.0,0.0,2.0,2,1,2017-11-10,2017-11-10
515,Ames Color-File Green Diamond Border X-ray Mailers,Office Supplies,Envelopes,High,0.0,0.0,2.0,2,1,2016-02-05,2016-02-05
529,OtterBox Defender Series Case - iPhone 5c,Technology,Phones,High,0.0,0.0,3.0,3,1,2015-05-01,2015-05-01
551,"Leather Task Chair, Black",Furniture,Chairs,High,0.0,0.0,1.0,1,1,2017-12-11,2017-12-11
558,Loose Memo Sheets,Office Supplies,Paper,High,0.0,0.0,2.0,2,1,2015-11-07,2015-11-07
585,Peel-Off China Markers,Office Supplies,Art,High,0.0,0.0,3.0,3,1,2015-08-10,2015-08-10
586,Acco Perma 2700 Stacking Storage Drawers,Office Supplies,Storage,High,0.0,0.0,0.05,3,61,2016-09-10,2016-11-10
610,Xerox 1940,Office Supplies,Paper,High,0.0,0.0,2.0,2,1,2017-12-02,2017-12-02
619,Avery 478,Office Supplies,Labels,High,0.0,0.0,2.0,2,1,2016-08-04,2016-08-04
625,"Ink Jet Note and Greeting Cards, 8-1/2"" x 5-1/2"" Card Size",Office Supplies,Paper,High,0.0,0.0,3.0,3,1,2016-08-08,2016-08-08
629,Samsung Galaxy S4 Mini,Technology,Phones,High,0.0,0.0,3.0,3,1,2016-02-08,2016-02-08
647,Hewlett-Packard Deskjet 5550 Printer,Technology,Machines,High,0.0,0.0,3.0,3,1,2017-07-03,2017-07-03
664,Acco 6 Outlet Guardian Standard Surge Suppressor,Office Supplies,Appliances,High,0.0,0.0,2.0,2,1,2017-09-10,2017-09-10
670,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",Office Supplies,Envelopes,High,0.0,0.0,3.0,3,1,2015-11-09,2015-11-09
691,"SAFCO PlanMaster Heigh-Adjustable Drafting Table Base, 43w x 30d x 30-37h, Black",Furniture,Tables,High,0.0,0.0,0.01,3,433,2014-08-05,2015-10-12
702,Panasonic KP-350BK Electric Pencil Sharpener with Auto Stop,Office Supplies,Art,High,0.0,0.0,0.01,3,312,2015-03-01,2016-01-07
708,Holmes HEPA Air Purifier,Office Supplies,Appliances,High,0.0,0.0,3.0,3,1,2016-12-10,2016-12-10
716,Polycom SoundStation2 EX Conference phone,Technology,Phones,High,0.0,0.0,2.0,2,1,2015-12-06,2015-12-06
719,Xerox 1989,Office Supplies,Paper,High,0.0,0.0,2.0,2,1,2017-10-12,2017-10-12
731,Global Leather Executive Chair,Furniture,Chairs,High,0.0,0.0,1.0,1,1,2017-06-11,2017-06-11
744,Advantus T-Pin Paper Clips,Office Supplies,Fasteners,High,0.0,0.0,2.0,2,1,2016-05-06,2016-05-06
746,Staples,Office Supplies,Fasteners,High,0.0,0.0,2.0,2,1,2015-12-12,2015-12-12
747,Recycled Premium Regency Composition Covers,Office Supplies,Binders,High,0.0,0.0,2.0,2,1,2015-12-12,2015-12-12
754,Xerox 1974,Office Supplies,Paper,High,0.0,0.0,2.0,2,1,2014-11-12,2014-11-12
755,Bevis Boat-Shaped Conference Table,Furniture,Tables,High,0.0,0.0,3.0,3,1,2014-11-12,2014-11-12
766,"Tenex Personal Self-Stacking Standard File Box, Black/Gray",Office Supplies,Storage,High,0.0,0.0,1.0,1,1,2017-05-04,2017-05-04
774,Xerox 1959,Office Supplies,Paper,High,0.0,0.0,3.0,3,1,2015-01-02,2015-01-02
782,Economy Rollaway Files,Office Supplies,Storage,High,0.0,0.0,2.0,2,1,2014-09-05,2014-09-05
797,Panasonic KX MC6040 Color Laser Multifunction Printer,Technology,Machines,High,0.0,0.0,3.0,3,1,2016-06-04,2016-06-04
798,Sauder Inglewood Library Bookcases,Furniture,Bookcases,High,0.0,0.0,1.0,1,1,2016-06-04,2016-06-04
800,Avery 498,Office Supplies,Labels,High,0.0,0.0,2.0,2,1,2017-04-01,2017-04-01
808,"GBC Laser Imprintable Binding System Covers, Desert Sand",Office Supplies,Binders,High,0.0,0.0,3.0,3,1,2014-09-07,2014-09-07
819,AT&T EL51110 DECT,Technology,Phones,High,0.0,0.0,3.0,3,1,2014-09-07,2014-09-07
827,Maxell 4.7GB DVD-R 5/Pack,Technology,Accessories,High,0.0,0.0,1.0,1,1,2017-10-12,2017-10-12
832,Anker Astro Mini 3000mAh Ultra-Compact Portable Charger,Technology,Phones,High,0.0,0.0,2.0,2,1,2016-11-05,2016-11-05
841,Dana Swing-Arm Lamps,Furniture,Furnishings,High,0.0,0.0,2.0,2,1,2017-06-12,2017-06-12
850,"Eldon 200 Class Desk Accessories, Smoke",Furniture,Furnishings,High,0.0,0.0,3.0,3,1,2017-07-10,2017-07-10
851,Newell 346,Office Supplies,Art,High,0.0,0.0,3.0,3,1,2017-06-04,2017-06-04
853,Google Nexus 5,Technology,Phones,High,0.0,0.0,3.0,3,1,2016-12-06,2016-12-06
865,Kensington 7 Outlet MasterPiece Power Center with Fax/Phone Line Protection,Office Supplies,Appliances,High,0.0,0.0,1.0,1,1,2016-09-08,2016-09-08
866,Alliance Rubber Bands,Office Supplies,Fasteners,High,0.0,0.0,3.0,3,1,2015-11-08,2015-11-08
880,Storex Flexible Poly Binders with Double Pockets,Office Supplies,Binders,High,0.0,0.0,2.0,2,1,2016-04-09,2016-04-09
883,Stacking Trays by OIC,Furniture,Furnishings,High,0.0,0.0,2.0,2,1,2017-02-09,2017-02-09
895,"Rediform S.O.S. 1-Up Phone Message Bk, 4-1/4x3-1/16 Bk, 1 Form/Pg, 40 Messages/Bk, 3/Pk",Office Supplies,Paper,High,0.0,0.0,2.0,2,1,2017-09-10,2017-09-10
896,"Seth Thomas 14"" Putty-Colored Wall Clock",Furniture,Furnishings,High,0.0,0.0,2.0,2,1,2017-12-05,2017-12-05
897,Staple envelope,Office Supplies,Envelopes,High,0.0,0.0,3.0,3,1,2014-11-07,2014-11-07
898,Plantronics 81402,Technology,Phones,High,0.0,0.0,1.0,1,1,2017-10-02,2017-10-02
907,Fellowes PB300 Plastic Comb Binding Machine,Office Supplies,Binders,High,0.0,0.0,3.0,3,1,2017-11-10,2017-11-10
915,Col-Erase Pencils with Erasers,Office Supplies,Art,High,0.0,0.0,3.0,3,1,2017-12-10,2017-12-10
916,Logitech Mobile Speakerphone P710e - speaker phone,Technology,Phones,High,0.0,0.0,1.0,1,1,2016-07-08,2016-07-08
923,Avery 474,Office Supplies,Labels,High,0.0,0.0,3.0,3,1,2015-09-11,2015-09-11
929,Wausau Papers Astrobrights Colored Envelopes,Office Supplies,Envelopes,High,0.0,0.0,3.0,3,1,2015-12-04,2015-12-04
933,Jawbone MINI JAMBOX Wireless Bluetooth Speaker,Technology,Phones,High,0.0,0.0,2.0,2,1,2014-08-09,2014-08-09
939,"Tenex Traditional Chairmats for Hard Floors, Average Lip, 36"" x 48""",Furniture,Furnishings,High,0.0,0.0,2.0,2,1,2017-12-08,2017-12-08
948,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 10/Pack",Technology,Accessories,High,0.0,0.0,2.0,2,1,2017-11-12,2017-11-12
949,Newell 341,Office Supplies,Art,High,0.0,0.0,2.0,2,1,2016-12-08,2016-12-08
958,Apple EarPods with Remote and Mic,Technology,Phones,High,0.0,0.0,2.0,2,1,2016-08-09,2016-08-09
979,QVS USB Car Charger 2-Port 2.1Amp for iPod/iPhone/iPad/iPad 2/iPad 3,Technology,Phones,High,0.0,0.0,1.0,1,1,2017-09-04,2017-09-04
987,Imation Swivel Flash Drive USB flash drive - 8 GB,Technology,Accessories,High,0.0,0.0,1.0,1,1,2017-09-08,2017-09-08
995,Xerox 232,Office Supplies,Paper,High,0.0,0.0,2.0,2,1,2014-12-08,2014-12-08
999,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,Furniture,Furnishings,High,0.0,0.0,2.0,2,1,2015-07-09,2015-07-09
1000,"Avery 05222 Permanent Self-Adhesive File Folder Labels for Typewriters, on Rolls, White, 250/Roll",Office Supplies,Labels,High,0.0,0.0,3.0,3,1,2015-07-09,2015-07-09
1015,Panasonic KX-TG9541B DECT 6.0 Digital 2-Line Expandable Cordless Phone With Digital Answering System,Technology,Phones,High,0.0,0.0,3.0,3,1,2015-07-09,2015-07-09
1023,Avery 515,Office Supplies,Labels,High,0.0,0.0,2.0,2,1,2017-03-05,2017-03-05
1025,"TOPS 4 x 6 Fluorescent Color Memo Sheets, 500 Sheets per Pack",Office Supplies,Paper,High,0.0,0.0,2.0,2,1,2017-10-09,2017-10-09
1026,SAFCO Optional Arm Kit for Workspace Cribbage Stacking Chair,Furniture,Chairs,High,0.0,0.0,1.0,1,1,2017-05-07,2017-05-07
1027,Belkin Premiere Surge Master II 8-outlet surge protector,Office Supplies,Appliances,High,0.0,0.0,2.0,2,1,2017-05-07,2017-05-07
1030,"Eldon 300 Class Desk Accessories, Black",Furniture,Furnishings,High,0.0,0.0,1.0,1,1,2017-06-06,2017-06-06
1034,"Sanford Colorific Scented Colored Pencils, 12/Pack",Office Supplies,Art,High,0.0,0.0,2.0,2,1,2014-06-02,2014-06-02
1043,Ooma Telo VoIP Home Phone System,Technology,Phones,High,0.0,0.0,2.0,2,1,2017-09-02,2017-09-02
1044,RCA ViSYS 25423RE1 Corded phone,Technology,Phones,High,0.0,0.0,2.0,2,1,2016-03-01,2016-03-01
1048,i.Sound Portable Power - 8000 mAh,Technology,Phones,High,0.0,0.0,2.0,2,1,2017-10-02,2017-10-02
1053,"Fiskars 8"" Scissors, 2/Pack",Office Supplies,Supplies,High,0.0,0.0,3.0,3,1,2015-05-01,2015-05-01
1054,"Rush Hierlooms Collection 1"" Thick Stackable Bookcases",Furniture,Bookcases,High,0.0,0.0,3.0,3,1,2015-03-08,2015-03-08
1055,Boston 1900 Electric Pencil Sharpener,Office Supplies,Art,High,0.0,0.0,1.0,1,1,2015-03-08,2015-03-08
1057,"Office Impressions End Table, 20-1/2""H x 24""W x 20""D",Furniture,Tables,High,0.0,0.0,3.0,3,1,2016-03-03,2016-03-03
1067,Avery Printable Repositionable Plastic Tabs,Office Supplies,Binders,High,0.0,0.0,2.0,2,1,2017-08-07,2017-08-07
1069,Anderson Hickey Conga Table Tops & Accessories,Furniture,Tables,High,0.0,0.0,3.0,3,1,2015-09-07,2015-09-07
1082,O'Sullivan 5-Shelf Heavy-Duty Bookcases,Furniture,Bookcases,High,0.0,0.0,1.0,1,1,2016-12-05,2016-12-05
1088,Cubify CubeX 3D Printer Double Head Print,Technology,Machines,High,0.0,0.0,2.0,2,1,2017-04-01,2017-04-01
1099,Harmony Air Purifier,Office Supplies,Appliances,High,0.0,0.0,1.0,1,1,2017-12-09,2017-12-09
1112,SANFORD Major Accent Highlighters,Office Supplies,Art,High,0.0,0.0,3.0,3,1,2014-09-02,2014-09-02
1113,Staple-on labels,Office Supplies,Labels,High,0.0,0.0,2.0,2,1,2014-05-06,2014-05-06
1116,Boston 16750 Black Compact Battery Pencil Sharpener,Office Supplies,Art,High,0.0,0.0,1.0,1,1,2016-11-03,2016-11-03
1123,Holmes 99% HEPA Air Purifier,Office Supplies,Appliances,High,0.0,0.0,2.0,2,1,2016-11-03,2016-11-03
1124,Xerox 1892,Office Supplies,Paper,High,0.0,0.0,3.0,3,1,2016-11-03,2016-11-03
1146,Document Clip Frames,Furniture,Furnishings,High,0.0,0.0,3.0,3,1,2017-11-02,2017-11-02
1152,"Sanford Prismacolor Professional Thick Lead Art Pencils, 36-Color Set",Office Supplies,Art,High,0.0,0.0,2.0,2,1,2015-05-03,2015-05-03
1154,Xerox 1897,Office Supplies,Paper,High,0.0,0.0,2.0,2,1,2015-05-03,2015-05-03
1157,Logitech Media Keyboard K200,Technology,Accessories,High,0.0,0.0,2.0,2,1,2016-01-10,2016-01-10
1159,Newell 348,Office Supplies,Art,High,0.0,0.0,2.0,2,1,2017-05-11,2017-05-11
1161,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,Office Supplies,Appliances,High,0.0,0.0,3.0,3,1,2016-11-11,2016-11-11
1163,"Dixon Ticonderoga Maple Cedar Pencil, #2",Office Supplies,Art,High,0.0,0.0,3.0,3,1,2017-11-12,2017-11-12
1167,ARKON Windshield Dashboard Air Vent Car Mount Holder,Technology,Phones,High,0.0,0.0,3.0,3,1,2016-12-09,2016-12-09
1172,"Avery Triangle Shaped Sheet Lifters, Black, 2/Pack",Office Supplies,Binders,High,0.0,0.0,3.0,3,1,2014-11-07,2014-11-07
1176,Avery Personal Creations Heavyweight Cards,Office Supplies,Paper,High,0.0,0.0,3.0,3,1,2015-12-11,2015-12-11
1180,Woodgrain Magazine Files by Perma,Office Supplies,Storage,High,0.0,0.0,3.0,3,1,2014-12-12,2014-12-12
1181,Newell 323,Office Supplies,Art,High,0.0,0.0,2.0,2,1,2017-03-08,2017-03-08
1184,Hon Every-Day Chair Series Swivel Task Chairs,Furniture,Chairs,High,0.0,0.0,3.0,3,1,2017-10-09,2017-10-09
1185,"Bush Westfield Collection Bookcases, Medium Cherry Finish",Furniture,Bookcases,High,0.0,0.0,3.0,3,1,2016-01-02,2016-01-02
1186,GE 30522EE2,Technology,Phones,High,0.0,0.0,2.0,2,1,2016-01-02,2016-01-02
1191,Belkin 8-Outlet Premiere SurgeMaster II Surge Protectors,Office Supplies,Appliances,High,0.0,0.0,1.0,1,1,2017-12-08,2017-12-08
1192,"Executive Impressions 13-1/2"" Indoor/Outdoor Wall Clock",Furniture,Furnishings,High,0.0,0.0,2.0,2,1,2014-06-09,2014-06-09
1203,GBC Wire Binding Strips,Office Supplies,Binders,High,0.0,0.0,1.0,1,1,2015-09-07,2015-09-07
1208,"Acco Smartsocket Table Surge Protector, 6 Color-Coded Adapter Outlets",Office Supplies,Appliances,High,0.0,0.0,3.0,3,1,2014-08-08,2014-08-08
1211,Petty Cash Envelope,Office Supplies,Paper,High,0.0,0.0,3.0,3,1,2016-09-08,2016-09-08
1214,Hammermill CopyPlus Copy Paper (20Lb. and 84 Bright),Office Supplies,Paper,High,0.0,0.0,2.0,2,1,2017-08-04,2017-08-04
1215,Cardinal Hold-It CD Pocket,Office Supplies,Binders,High,0.0,0.0,3.0,3,1,2015-08-07,2015-08-07
1217,Microsoft Arc Touch Mouse,Technology,Accessories,High,0.0,0.0,2.0,2,1,2015-11-08,2015-11-08
1219,"File Shuttle II and Handi-File, Black",Office Supplies,Storage,High,0.0,0.0,2.0,2,1,2017-03-06,2017-03-06
1221,"Peel & Seel Recycled Catalog Envelopes, Brown",Office Supplies,Envelopes,High,0.0,0.0,2.0,2,1,2017-05-05,2017-05-05
1223,High Speed Automatic Electric Letter Opener,Office Supplies,Supplies,High,0.0,0.0,3.0,3,1,2016-03-03,2016-03-03
1226,"OIC Binder Clips, Mini, 1/4"" Capacity, Black",Office Supplies,Fasteners,High,0.0,0.0,0.05,3,58,2015-09-12,2015-11-09
1229,"Barricks Non-Folding Utility Table with Steel Legs, Laminate Tops",Furniture,Tables,High,0.0,0.0,2.0,2,1,2016-08-02,2016-08-02
1230,XtraLife ClearVue Slant-D Ring Binders by Cardinal,Office Supplies,Binders,High,0.0,0.0,2.0,2,1,2016-08-02,2016-08-02
1231,Xerox 1954,Office Supplies,Paper,High,0.0,0.0,2.0,2,1,2016-08-08,2016-08-08
1255,Unpadded Memo Slips,Office Supplies,Paper,High,0.0,0.0,2.0,2,1,2017-09-09,2017-09-09
1256,GBC DocuBind P100 Manual Binding Machine,Office Supplies,Binders,High,0.0,0.0,2.0,2,1,2014-09-12,2014-09-12
1262,Eldon Image Series Black Desk Accessories,Furniture,Furnishings,High,0.0,0.0,1.0,1,1,2017-11-02,2017-11-02
1263,Colored Envelopes,Office Supplies,Envelopes,High,0.0,0.0,3.0,3,1,2017-11-02,2017-11-02
1268,Avery Binder Labels,Office Supplies,Binders,High,0.0,0.0,3.0,3,1,2016-06-06,2016-06-06
1269,Xerox 230,Office Supplies,Paper,High,0.0,0.0,2.0,2,1,2016-06-06,2016-06-06
1270,"DAX Copper Panel Document Frame, 5 x 7 Size",Furniture,Furnishings,High,0.0,0.0,2.0,2,1,2017-09-07,2017-09-07
1273,"Master Caster Door Stop, Gray",Furniture,Furnishings,High,0.0,0.0,2.0,2,1,2017-10-02,2017-10-02
1274,Xerox 20,Office Supplies,Paper,High,0.0,0.0,1.0,1,1,2015-12-06,2015-12-06
1277,Newell 35,Office Supplies,Art,High,0.0,0.0,2.0,2,1,2017-09-09,2017-09-09
1282,Kensington Expert Mouse Optical USB Trackball for PC or Mac,Technology,Accessories,High,0.0,0.0,3.0,3,1,2017-09-03,2017-09-03
1284,Logitech G35 7.1-Channel Surround Sound Headset,Technology,Accessories,High,0.0,0.0,3.0,3,1,2016-06-11,2016-06-11
1288,Acme Kleen Earth Office Shears,Office Supplies,Supplies,High,0.0,0.0,3.0,3,1,2014-11-03,2014-11-03
1289,Sannysis Cute Owl Design Soft Skin Case Cover for Samsung Galaxy S4,Technology,Phones,High,0.0,0.0,3.0,3,1,2014-03-01,2014-03-01
1296,Hon Olson Stacker Stools,Furniture,Chairs,High,0.0,0.0,1.0,1,1,2014-11-11,2014-11-11
1297,"Vtech AT&T CL2940 Corded Speakerphone, Black",Technology,Machines,High,0.0,0.0,3.0,3,1,2015-04-02,2015-04-02
1298,Newell 311,Office Supplies,Art,High,0.0,0.0,0.01,3,359,2015-12-12,2016-12-05
1300,Newell 347,Office Supplies,Art,High,0.0,0.0,3.0,3,1,2017-05-12,2017-05-12
1302,Hoover Commercial Soft Guard Upright Vacuum And Disposable Filtration Bags,Office Supplies,Appliances,High,0.0,0.0,1.0,1,1,2017-05-12,2017-05-12
1304,Office Star Flex Back Scooter Chair with Aluminum Finish Frame,Furniture,Chairs,High,0.0,0.0,1.0,1,1,2017-09-03,2017-09-03
1307,Xerox 1994,Office Supplies,Paper,High,0.0,0.0,3.0,3,1,2016-05-01,2016-05-01
1312,Newell 331,Office Supplies,Art,High,0.0,0.0,3.0,3,1,2015-04-07,2015-04-07
1314,Xerox 1902,Office Supplies,Paper,High,0.0,0.0,2.0,2,1,2015-05-07,2015-05-07
1315,Wilson Jones Suede Grain Vinyl Binders,Office Supplies,Binders,High,0.0,0.0,1.0,1,1,2017-09-10,2017-09-10
1321,"Eldon Regeneration Recycled Desk Accessories, Black",Furniture,Furnishings,High,0.0,0.0,3.0,3,1,2016-12-02,2016-12-02
1324,Apple iPhone 5S,Technology,Phones,High,0.0,0.0,2.0,2,1,2017-07-07,2017-07-07
1325,Plastic Stacking Crates & Casters,Office Supplies,Storage,High,0.0,0.0,3.0,3,1,2017-07-07,2017-07-07
1328,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,Office Supplies,Appliances,High,0.0,0.0,2.0,2,1,2017-03-05,2017-03-05
1329,"GE 4 Foot Flourescent Tube, 40 Watt",Furniture,Furnishings,High,0.0,0.0,2.0,2,1,2014-11-11,2014-11-11
1332,"Padded Folding Chairs, Black, 4/Carton",Furniture,Chairs,High,0.0,0.0,2.0,2,1,2014-09-07,2014-09-07
1336,Tenex B1-RE Series Chair Mats for Low Pile Carpets,Furniture,Furnishings,High,0.0,0.0,2.0,2,1,2014-04-06,2014-04-06
1337,Xerox 211,Office Supplies,Paper,High,0.0,0.0,3.0,3,1,2014-04-06,2014-04-06
1346,Memorex Micro Travel Drive 4 GB,Technology,Accessories,High,0.0,0.0,2.0,2,1,2014-08-02,2014-08-02
1348,"Bush Cubix Collection Bookcases, Fully Assembled",Furniture,Bookcases,High,0.0,0.0,0.01,3,514,2015-10-05,2017-03-02
1352,RCA Visys Integrated PBX 8-Line Router,Technology,Phones,High,0.0,0.0,3.0,3,1,2014-04-07,2014-04-07
1359,Xerox 1887,Office Supplies,Paper,High,0.0,0.0,1.0,1,1,2016-11-04,2016-11-04
1362,Panasonic KX - TS880B Telephone,Technology,Phones,High,0.0,0.0,1.0,1,1,2017-04-04,2017-04-04
1366,Avery 497,Office Supplies,Labels,High,0.0,0.0,1.0,1,1,2017-03-04,2017-03-04
1374,"Permanent Self-Adhesive File Folder Labels for Typewriters, 1 1/8 x 3 1/2, White",Office Supplies,Labels,High,0.0,0.0,0.01,3,242,2015-11-08,2016-07-07
1376,First Data TMFD35 PIN Pad,Technology,Accessories,High,0.0,0.0,1.0,1,1,2017-12-04,2017-12-04
1380,Newell 335,Office Supplies,Art,High,0.0,0.0,3.0,3,1,2014-05-07,2014-05-07
1382,Xerox 1944,Office Supplies,Paper,High,0.0,0.0,2.0,2,1,2014-06-06,2014-06-06
1383,"DAX Metal Frame, Desktop, Stepped-Edge",Furniture,Furnishings,High,0.0,0.0,3.0,3,1,2014-12-02,2014-12-02
1385,"Boston 1827 Commercial Additional Cutter, Drive Gear & Gear Rack for 1606",Office Supplies,Art,High,0.0,0.0,2.0,2,1,2015-08-08,2015-08-08
1390,Xerox 1890,Office Supplies,Paper,High,0.0,0.0,3.0,3,1,2017-09-02,2017-09-02
1401,Okidata C610n Printer,Technology,Machines,High,0.0,0.0,3.0,3,1,2016-09-02,2016-09-02
1405,"Eldon Expressions Wood and Plastic Desk Accessories, Oak",Furniture,Furnishings,High,0.0,0.0,1.0,1,1,2016-11-10,2016-11-10
1410,Staples,Office Supplies,Fasteners,High,0.0,0.0,3.0,3,1,2016-09-12,2016-09-12
1417,12 Colored Short Pencils,Office Supplies,Art,High,0.0,0.0,3.0,3,1,2017-11-10,2017-11-10
1420,Hoover Commercial Lightweight Upright Vacuum,Office Supplies,Appliances,High,0.0,0.0,2.0,2,1,2017-12-11,2017-12-11
1423,"Boston School Pro Electric Pencil Sharpener, 1670",Office Supplies,Art,High,0.0,0.0,3.0,3,1,2016-11-11,2016-11-11
1428,Xerox 196,Office Supplies,Paper,High,0.0,0.0,2.0,2,1,2016-09-05,2016-09-05
1431,Desktop 3-Pocket Hot File,Office Supplies,Storage,High,0.0,0.0,1.0,1,1,2017-03-11,2017-03-11
