product_sk,Product_Name,Category,Sub_Category,Inventory_Turnover_Ratio,Days_Inventory_Outstanding,Sales,COGS,Quantity
39,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),Office Supplies,Paper,4.0,91.25,23.92,14.352,4
40,"Hunt PowerHouse Electric Pencil Sharpener, Blue",Office Supplies,Art,4.0,91.25,1230.55,738.3299999999999,33
41,"Avery Durable Plastic 1"" Binders",Office Supplies,Binders,4.0,91.25,81.72,49.032,21
42,Hon Racetrack Conference Tables,Furniture,Tables,4.0,91.25,2205.09,1323.054,12
43,GBC DocuBind 300 Electric Binding Machine,Office Supplies,Binders,4.0,91.25,4155.24,2493.144,13
44,Artistic Insta-Plaque,Furniture,Furnishings,4.0,91.25,94.08,56.448,6
45,"Companion Letter/Legal File, Black",Office Supplies,Storage,4.0,91.25,347.4,208.43999999999997,10
46,Globe Weis Peel & Seel First Class Envelopes,Office Supplies,Envelopes,4.0,91.25,311.83,187.09799999999998,25
47,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,Technology,Phones,4.0,91.25,97.2,58.32,10
48,"Avery Durable Slant Ring Binders, No Labels",Office Supplies,Binders,4.0,91.25,81.99000000000001,49.194,29
49,"Trav-L-File Heavy-Duty Shuttle II, Black",Office Supplies,Storage,4.0,91.25,644.8299999999999,386.89799999999997,17
50,"Global Task Chair, Black",Furniture,Chairs,4.0,91.25,1042.03,625.218,22
51,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,Furniture,Furnishings,4.0,91.25,397.6,238.56,8
52,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,Technology,Phones,4.0,91.25,163.92,98.35199999999999,11
53,Xerox 1916,Office Supplies,Paper,4.0,91.25,307.87,184.722,17
54,Staples,Office Supplies,Fasteners,4.0,91.25,61.99,37.194,24
55,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Furniture,Furnishings,4.0,91.25,582.5600000000001,349.536,22
56,Safco Industrial Wire Shelving,Office Supplies,Storage,4.0,91.25,671.93,403.15799999999996,7
57,Plantronics Cordless Phone Headset with In-line Volume - M214C,Technology,Phones,4.0,91.25,664.05,398.42999999999995,19
58,Anker Astro 15000mAh USB Portable Charger,Technology,Phones,4.0,91.25,599.88,359.928,13
59,GBC Prestige Therm-A-Bind Covers,Office Supplies,Binders,4.0,91.25,473.48,284.088,16
60,Global Deluxe High-Back Manager's Chair,Furniture,Chairs,4.0,91.25,5948.39,3569.034,22
61,Xerox 1920,Office Supplies,Paper,4.0,91.25,53.82,32.292,9
62,Wilson Jones International Size A4 Ring Binders,Office Supplies,Binders,4.0,91.25,27.68,16.608,2
63,BIC Brite Liner Highlighters,Office Supplies,Art,4.0,91.25,23.189999999999998,13.913999999999998,7
64,Lexmark MX611dhe Monochrome Laser Printer,Technology,Machines,4.0,91.25,11219.93,6731.958,10
65,Space Solutions HD Industrial Steel Shelving.,Office Supplies,Storage,4.0,91.25,1310.66,786.3960000000001,12
66,SAFCO Arco Folding Chair,Furniture,Chairs,4.0,91.25,3369.64,2021.7839999999999,17
67,Sanford Liquid Accent Highlighters,Office Supplies,Art,4.0,91.25,45.42,27.252,8
68,Kensington 7 Outlet MasterPiece Power Center,Office Supplies,Appliances,4.0,91.25,1281.46,768.876,12
69,JBL Micro Wireless Portable Bluetooth Speaker,Technology,Phones,4.0,91.25,527.91,316.746,11
70,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6 x 11",Office Supplies,Paper,4.0,91.25,182.53,109.518,19
71,Xerox 1913,Office Supplies,Paper,4.0,91.25,277.4,166.43999999999997,5
72,"Global Value Steno Chair, Gray",Furniture,Chairs,4.0,91.25,680.28,408.16799999999995,13
73,"Tenex File Box, Personal Filing Tote with Lid, Black",Office Supplies,Storage,4.0,91.25,152.0,91.2,11
74,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,Technology,Accessories,4.0,91.25,934.26,560.5559999999999,16
75,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",Furniture,Bookcases,4.0,91.25,899.14,539.4839999999999,4
76,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,Technology,Phones,4.0,91.25,165.05,99.03,17
77,Xerox 205,Office Supplies,Paper,4.0,91.25,98.5,59.099999999999994,16
78,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Furniture,Bookcases,4.0,91.25,2714.19,1628.514,13
79,4009 Highlighters by Sanford,Office Supplies,Art,4.0,91.25,57.31,34.386,15
80,Decoflex Hanging Personal Folder File,Office Supplies,Storage,4.0,91.25,46.26,27.755999999999997,3
81,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",Office Supplies,Binders,4.0,91.25,28.479999999999997,17.087999999999997,19
82,"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page",Office Supplies,Paper,4.0,91.25,32.12,19.272,6
83,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,Furniture,Tables,4.0,91.25,1706.26,1023.756,15
84,"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",Office Supplies,Appliances,4.0,91.25,48.75,29.25,17
85,"Eldon 200 Class Desk Accessories, Burgundy",Furniture,Furnishings,4.0,91.25,50.24,30.144,10
86,Nortel Business Series Terminal T7208 Digital phone,Technology,Phones,4.0,91.25,778.3499999999999,467.00999999999993,7
87,"Tennsco Lockers, Gray",Office Supplies,Storage,4.0,91.25,209.8,125.88,11
88,Panasonic KX-TG6844B Expandable Digital Cordless Telephone,Technology,Phones,4.0,91.25,607.11,364.266,12
89,"Advantus Push Pins, Aluminum Head",Office Supplies,Fasteners,4.0,91.25,58.1,34.86,10
90,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",Office Supplies,Storage,4.0,91.25,459.95000000000005,275.97,6
91,Memorex Micro Travel Drive 8 GB,Technology,Accessories,4.0,91.25,184.6,110.75999999999999,16
92,Avery 505,Office Supplies,Labels,4.0,91.25,192.4,115.44,14
93,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,Furniture,Bookcases,4.0,91.25,814.41,488.64599999999996,7
94,Speck Products Candyshell Flip Case,Technology,Phones,4.0,91.25,160.95,96.57,7
95,Cisco 9971 IP Video Phone Charcoal,Technology,Machines,4.0,91.25,1188.0,712.8,9
96,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,Technology,Accessories,4.0,91.25,839.8499999999999,503.9099999999999,16
97,"Sanford Uni-Blazer View Highlighters, Chisel Tip, Yellow",Office Supplies,Art,4.0,91.25,2.2,1.32,1
98,Bevis 36 x 72 Conference Tables,Furniture,Tables,4.0,91.25,2290.62,1374.3719999999998,23
99,Rogers Deluxe File Chest,Office Supplies,Storage,4.0,91.25,268.16,160.89600000000002,14
100,Bush Advantage Collection Round Conference Table,Furniture,Tables,4.0,91.25,2147.26,1288.356,11
101,Bretford Rectangular Conference Table Tops,Furniture,Tables,4.0,91.25,5435.07,3261.042,19
102,GBC Instant Index System for Binding Systems,Office Supplies,Binders,4.0,91.25,5.33,3.198,2
103,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",Furniture,Furnishings,4.0,91.25,258.07,154.84199999999998,3
104,Logitech P710e Mobile Speakerphone,Technology,Accessories,4.0,91.25,5982.24,3589.3439999999996,40
105,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),Office Supplies,Paper,4.0,91.25,51.74,31.044,11
106,Xerox 1957,Office Supplies,Paper,4.0,91.25,82.94,49.763999999999996,15
107,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,Furniture,Furnishings,4.0,91.25,419.68,251.808,5
108,Staple-based wall hangings,Furniture,Furnishings,4.0,91.25,64.28999999999999,38.57399999999999,9
109,PureGear Roll-On Screen Protector,Technology,Phones,4.0,91.25,31.98,19.188,2
110,KI Conference Tables,Furniture,Tables,4.0,91.25,843.6,506.15999999999997,18
111,Eldon 100 Class Desk Accessories,Furniture,Furnishings,4.0,91.25,4.04,2.424,3
112,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",Office Supplies,Art,4.0,91.25,67.60000000000001,40.56,15
113,Safco Steel Mobile File Cart,Office Supplies,Storage,4.0,91.25,250.07999999999998,150.04799999999997,3
114,"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book",Office Supplies,Paper,4.0,91.25,127.68,76.608,16
115,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,Office Supplies,Appliances,4.0,91.25,6914.95,4148.969999999999,23
116,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",Furniture,Chairs,4.0,91.25,2070.1,1242.06,13
117,"Wirebound Message Books, Two 4 1/4"" x 5"" Forms per Page",Office Supplies,Paper,4.0,91.25,45.660000000000004,27.396,6
118,"Fellowes Personal Hanging Folder Files, Navy",Office Supplies,Storage,4.0,91.25,287.73,172.638,23
119,Tyvek Side-Opening Peel & Seel Expanding Envelopes,Office Supplies,Envelopes,4.0,91.25,633.36,380.016,7
120,Sabrent 4-Port USB 2.0 Hub,Technology,Accessories,4.0,91.25,27.16,16.296,4
121,Safco Industrial Shelving,Office Supplies,Storage,4.0,91.25,339.71000000000004,203.82600000000002,5
122,Acco 3-Hole Punch,Office Supplies,Binders,4.0,91.25,31.54,18.924,9
123,Eureka Disposable Bags for Sanitaire Vibra Groomer I Upright Vac,Office Supplies,Appliances,4.0,91.25,1.62,0.972,2
124,Cisco Small Business SPA 502G VoIP phone,Technology,Phones,4.0,91.25,574.39,344.63399999999996,7
125,Microsoft Sculpt Comfort Mouse,Technology,Accessories,4.0,91.25,759.05,455.42999999999995,20
126,Safco Commercial Shelving,Office Supplies,Storage,4.0,91.25,437.2,262.32,10
127,"Recycled Interoffice Envelopes with String and Button Closure, 10 x 13",Office Supplies,Envelopes,4.0,91.25,57.58,34.547999999999995,3
128,"Bevis Round Bullnose 29"" High Table Top",Furniture,Tables,4.0,91.25,1038.84,623.304,5
129,Electrix 20W Halogen Replacement Bulb for Zoom-In Desk Lamp,Furniture,Furnishings,4.0,91.25,40.2,24.12,3
130,"GBC Clear Cover, 8-1/2 x 11, unpunched, 25 covers per pack",Office Supplies,Binders,4.0,91.25,63.67,38.202,7
131,Boston Heavy-Duty Trimline Electric Pencil Sharpeners,Office Supplies,Art,4.0,91.25,780.84,468.504,17
132,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,Furniture,Furnishings,4.0,91.25,59.6,35.76,14
133,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,Furniture,Chairs,4.0,91.25,2333.84,1400.304,9
134,"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany",Furniture,Furnishings,4.0,91.25,76.16,45.696,9
135,Avery 509,Office Supplies,Labels,4.0,91.25,24.53,14.718,10
136,AT&T 1070 Corded Phone,Technology,Phones,4.0,91.25,624.3399999999999,374.6039999999999,7
137,Xerox 21,Office Supplies,Paper,4.0,91.25,36.29,21.773999999999997,7
138,DMI Arturo Collection Mission-style Design Wood Chair,Furniture,Chairs,4.0,91.25,1419.21,851.526,12
139,Canon imageCLASS MF7460 Monochrome Digital Laser Multifunction Copier,Technology,Machines,4.0,91.25,3991.98,2395.188,2
140,NETGEAR N750 Dual Band Wi-Fi Gigabit Router,Technology,Accessories,4.0,91.25,1170.0,702.0,14
141,Telescoping Adjustable Floor Lamp,Furniture,Furnishings,4.0,91.25,127.93,76.758,8
142,Storex Dura Pro Binders,Office Supplies,Binders,4.0,91.25,118.80000000000001,71.28,25
143,Hewlett Packard LaserJet 3310 Copier,Technology,Copiers,4.0,91.25,8159.86,4895.915999999999,16
144,Avery Non-Stick Binders,Office Supplies,Binders,4.0,91.25,38.61,23.166,14
145,Tuff Stuff Recycled Round Ring Binders,Office Supplies,Binders,4.0,91.25,31.330000000000002,18.798000000000002,11
146,Hon 5100 Series Wood Tables,Furniture,Tables,4.0,91.25,3840.93,2304.558,15
147,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box",Office Supplies,Art,4.0,91.25,7.56,4.536,3
148,Easy-staple paper,Office Supplies,Paper,4.0,91.25,93.33,55.998,8
149,"BIC Brite Liner Highlighters, Chisel Tip",Office Supplies,Art,4.0,91.25,64.8,38.879999999999995,12
150,Xerox 1881,Office Supplies,Paper,4.0,91.25,944.0899999999999,566.454,37
151,Acco Hanging Data Binders,Office Supplies,Binders,4.0,91.25,24.39,14.634,8
152,GBC DocuBind P400 Electric Binding System,Office Supplies,Binders,4.0,91.25,5443.96,3266.3759999999997,8
153,Sauder Barrister Bookcases,Furniture,Bookcases,4.0,91.25,388.7,233.21999999999997,6
154,"#10 Gummed Flap White Envelopes, 100/Box",Office Supplies,Envelopes,4.0,91.25,14.870000000000001,8.922,4
155,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",Office Supplies,Art,4.0,91.25,71.57,42.94199999999999,17
156,"Adams Phone Message Book, 200 Message Capacity, 8 1/16 x 11",Office Supplies,Paper,4.0,91.25,199.51999999999998,119.71199999999999,29
157,Belkin 8 Outlet SurgeMaster II Gold Surge Protector with Phone Protection,Office Supplies,Appliances,4.0,91.25,647.84,388.704,8
158,"Avery Address/Shipping Labels for Typewriters, 4"" x 2""",Office Supplies,Labels,4.0,91.25,20.7,12.42,2
159,Lexmark MarkNet N8150 Wireless Print Server,Technology,Machines,4.0,91.25,482.34,289.404,4
160,3M Hangers With Command Adhesive,Furniture,Furnishings,4.0,91.25,39.96,23.976,11
161,"Angle-D Binders with Locking Rings, Label Holders",Office Supplies,Binders,4.0,91.25,84.67999999999999,50.80799999999999,16
162,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,Technology,Accessories,4.0,91.25,79.96,47.97599999999999,4
163,Wilson Jones Century Plastic Molded Ring Binders,Office Supplies,Binders,4.0,91.25,340.62,204.37199999999999,31
164,Super Decoflex Portable Personal File,Office Supplies,Storage,4.0,91.25,140.81,84.486,10
165,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Furniture,Bookcases,4.0,91.25,8298.84,4979.304,11
166,"Contico 72""H Heavy-Duty Storage System",Office Supplies,Storage,4.0,91.25,418.0,250.79999999999998,11
167,Sony 64GB Class 10 Micro SDHC R40 Memory Card,Technology,Accessories,4.0,91.25,237.52999999999997,142.51799999999997,7
168,Sharp AL-1530CS Digital Copier,Technology,Copiers,4.0,91.25,5199.9,3119.9399999999996,13
169,"Wirebound Message Book, 4 per Page",Office Supplies,Paper,4.0,91.25,59.73,35.837999999999994,12
170,"Bevis Round Conference Table Top, X-Base",Furniture,Tables,4.0,91.25,2061.84,1237.104,16
171,"Wirebound Service Call Books, 5 1/2"" x 4""",Office Supplies,Paper,4.0,91.25,9.68,5.808,1
172,Self-Adhesive Removable Labels,Office Supplies,Labels,4.0,91.25,37.8,22.679999999999996,12
173,O'Sullivan 4-Shelf Bookcase in Odessa Pine,Furniture,Bookcases,4.0,91.25,1857.04,1114.224,24
174,Novimex High-Tech Fabric Mesh Task Chair,Furniture,Chairs,4.0,91.25,184.55,110.73,3
175,Xerox 191,Office Supplies,Paper,4.0,91.25,427.57,256.542,22
176,Global Deluxe Office Fabric Chairs,Furniture,Chairs,4.0,91.25,307.14,184.284,4
177,Xerox 1987,Office Supplies,Paper,4.0,91.25,40.46,24.276,7
178,American Pencil,Office Supplies,Art,4.0,91.25,20.97,12.581999999999999,9
179,"White Envelopes, White Envelopes with Clear Poly Window",Office Supplies,Envelopes,4.0,91.25,76.25,45.75,6
180,"Epson WorkForce WF-2530 All-in-One Printer, Copier Scanner",Technology,Machines,4.0,91.25,279.96,167.97599999999997,4
181,Design Ebony Sketching Pencil,Office Supplies,Art,4.0,91.25,6.67,4.002,6
182,Letter Size Cart,Office Supplies,Storage,4.0,91.25,2114.33,1268.598,15
183,"Canon Color ImageCLASS MF8580Cdw Wireless Laser All-In-One Printer, Copier, Scanner",Technology,Machines,4.0,91.25,1007.98,604.788,3
184,Aluminum Document Frame,Furniture,Furnishings,4.0,91.25,85.53999999999999,51.32399999999999,7
185,Fellowes Bankers Box Staxonsteel Drawer File/Stacking System,Office Supplies,Storage,4.0,91.25,1156.64,693.984,18
186,Eldon Mobile Mega Data Cart  Mega Stackable  Add-On Trays,Office Supplies,Storage,4.0,91.25,70.95,42.57,3
187,"Xerox Color Copier Paper, 11"" x 17"", Ream",Office Supplies,Paper,4.0,91.25,296.92,178.15200000000002,13
188,Office Star - Ergonomically Designed Knee Chair,Furniture,Chairs,4.0,91.25,882.6800000000001,529.6080000000001,12
189,Avery 520,Office Supplies,Labels,4.0,91.25,44.1,26.46,14
190,Newell 345,Office Supplies,Art,4.0,91.25,230.15,138.09,13
191,Fellowes Bankers Box Recycled Super Stor/Drawer,Office Supplies,Storage,4.0,91.25,593.78,356.268,13
192,Boston 1645 Deluxe Heavier-Duty Electric Pencil Sharpener,Office Supplies,Art,4.0,91.25,765.26,459.156,19
193,50 Colored Long Pencils,Office Supplies,Art,4.0,91.25,87.38,52.428,9
194,Newell 342,Office Supplies,Art,4.0,91.25,9.84,5.904,3
195,Belkin Grip Candy Sheer Case / Cover for iPhone 5 and 5S,Technology,Phones,4.0,91.25,64.97,38.982,8
196,"Global Geo Office Task Chair, Gray",Furniture,Chairs,4.0,91.25,534.46,320.676,8
197,SAFCO Boltless Steel Shelving,Office Supplies,Storage,4.0,91.25,1068.22,640.932,11
198,"Sauder Mission Library with Doors, Fruitwood Finish",Furniture,Bookcases,4.0,91.25,846.13,507.678,9
199,Samsung Galaxy Note 3,Technology,Phones,4.0,91.25,1495.93,897.558,10
200,"Decoflex Hanging Personal Folder File, Blue",Office Supplies,Storage,4.0,91.25,246.72,148.03199999999998,17
201,"Recycled Desk Saver Line ""While You Were Out"" Book, 5 1/2"" X 4""",Office Supplies,Paper,4.0,91.25,107.4,64.44,12
202,Xerox 1912,Office Supplies,Paper,4.0,91.25,163.14,97.88399999999999,9
203,Cisco SPA525G2 IP Phone - Wireless,Technology,Phones,4.0,91.25,163.59,98.154,11
204,Imation USB 2.0 Swivel Flash Drive USB flash drive - 4 GB - Pink,Technology,Accessories,4.0,91.25,9.09,5.454,3
205,Alphabetical Labels for Top Tab Filing,Office Supplies,Labels,4.0,91.25,201.27999999999997,120.76799999999997,14
206,O'Sullivan Living Dimensions 2-Shelf Bookcases,Furniture,Bookcases,4.0,91.25,1028.34,617.0039999999999,10
207,iHome FM Clock Radio with Lightning Dock,Technology,Phones,4.0,91.25,363.95,218.36999999999998,7
208,Square Credit Card Reader,Technology,Phones,4.0,91.25,105.89,63.534,14
209,Logitech M510 Wireless Mouse,Technology,Accessories,4.0,91.25,159.96,95.976,5
210,Sony Micro Vault Click 8 GB USB 2.0 Flash Drive,Technology,Accessories,4.0,91.25,93.98,56.388,2
211,Eldon Gobal File Keepers,Office Supplies,Storage,4.0,91.25,187.74,112.644,13
212,Martin Yale Chadless Opener Electric Letter Opener,Office Supplies,Supplies,4.0,91.25,4830.3,2898.18,6
213,"White Business Envelopes with Contemporary Seam, Recycled White Business Envelopes",Office Supplies,Envelopes,4.0,91.25,150.97,90.582,15
214,Safco Contoured Stacking Chairs,Furniture,Chairs,4.0,91.25,2240.96,1344.576,10
215,Tenex Chairmats For Use With Carpeted Floors,Furniture,Furnishings,4.0,91.25,79.9,47.940000000000005,5
216,Sterilite Officeware Hinged File Box,Office Supplies,Storage,4.0,91.25,117.38,70.428,12
217,"Premier Elliptical Ring Binder, Black",Office Supplies,Binders,4.0,91.25,286.13,171.678,36
218,Cardinal Poly Pocket Divider Pockets for Ring Binders,Office Supplies,Binders,4.0,91.25,10.75,6.45,4
219,Eureka The Boss Cordless Rechargeable Stick Vac,Office Supplies,Appliances,4.0,91.25,744.31,446.58599999999996,15
220,"Situations Contoured Folding Chairs, 4/Set",Furniture,Chairs,4.0,91.25,1696.41,1017.846,29
221,Enermax Aurora Lite Keyboard,Technology,Accessories,4.0,91.25,1641.1499999999999,984.6899999999998,21
222,SanDisk Cruzer 64 GB USB Flash Drive,Technology,Accessories,4.0,91.25,661.02,396.61199999999997,19
223,Xblue XB-1670-86 X16 Small Office Telephone - Titanium,Technology,Phones,4.0,91.25,604.75,362.84999999999997,5
224,"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting",Furniture,Furnishings,4.0,91.25,826.39,495.83399999999995,26
225,"Howard Miller 11-1/2"" Diameter Grantwood Wall Clock",Furniture,Furnishings,4.0,91.25,448.55,269.13,11
226,Zebra Zazzle Fluorescent Highlighters,Office Supplies,Art,4.0,91.25,57.16,34.296,11
227,Avery 473,Office Supplies,Labels,4.0,91.25,113.85,68.30999999999999,11
228,Bretford Just In Time Height-Adjustable Multi-Task Work Tables,Furniture,Tables,4.0,91.25,3005.2799999999997,1803.168,8
229,Xerox 226,Office Supplies,Paper,4.0,91.25,187.92000000000002,112.75200000000001,29
230,"Alliance Big Bands Rubber Bands, 12/Pack",Office Supplies,Fasteners,4.0,91.25,17.82,10.692,9
231,Cisco SPA301,Technology,Phones,4.0,91.25,1715.88,1029.528,14
232,Personal Creations Ink Jet Cards and Labels,Office Supplies,Paper,4.0,91.25,91.84,55.104,8
233,"GBC White Gloss Covers, Plain Front",Office Supplies,Binders,4.0,91.25,246.16000000000003,147.696,23
234,Xerox 222,Office Supplies,Paper,4.0,91.25,72.58,43.547999999999995,12
235,Hon Every-Day Series Multi-Task Chairs,Furniture,Chairs,4.0,91.25,3740.8,2244.48,22
236,Newell 332,Office Supplies,Art,4.0,91.25,43.51,26.105999999999998,16
237,Martin-Yale Premier Letter Opener,Office Supplies,Supplies,4.0,91.25,82.43,49.458000000000006,7
238,AT&T SB67148 SynJ,Technology,Phones,4.0,91.25,475.11999999999995,285.07199999999995,8
239,Recycled Pressboard Report Cover with Reinforced Top Hinge,Office Supplies,Binders,4.0,91.25,26.810000000000002,16.086000000000002,16
240,Jabra BIZ 2300 Duo QD Duo Corded Headset,Technology,Phones,4.0,91.25,406.37,243.822,4
241,"Dot Matrix Printer Tape Reel Labels, White, 5000/Box",Office Supplies,Labels,4.0,91.25,2398.76,1439.256,26
242,Newell 312,Office Supplies,Art,4.0,91.25,120.3,72.17999999999999,25
243,Fellowes Superior 10 Outlet Split Surge Protector,Office Supplies,Appliances,4.0,91.25,258.8,155.28,10
244,Dana Halogen Swing-Arm Architect Lamp,Furniture,Furnishings,4.0,91.25,327.76,196.65599999999998,8
245,Xerox 1972,Office Supplies,Paper,4.0,91.25,8.45,5.069999999999999,2
246,Cisco 8x8 Inc. 6753i IP Business Phone System,Technology,Phones,4.0,91.25,1619.88,971.928,17
247,Tennsco Regal Shelving Units,Office Supplies,Storage,4.0,91.25,243.38,146.028,3
248,Imation 32GB Pocket Pro USB 3.0 Flash Drive - 32 GB - Black - 1 P ...,Technology,Accessories,4.0,91.25,239.6,143.76,10
249,Jabra SPEAK 410,Technology,Phones,4.0,91.25,1560.2399999999998,936.1439999999998,19
250,Office Star - Mesh Screen back chair with Vinyl seat,Furniture,Chairs,4.0,91.25,392.94,235.76399999999998,3
251,Staples,Office Supplies,Fasteners,4.0,91.25,58.39,35.034,9
